Price,Close,EMA200,Upper_Buffer,Lower_Buffer,SMA200,SMA40
Ticker,^IXIC,,,,,
Date,,,,,,
2024-05-13,16388.24,14907.76,15354.99,14460.53,14733.21,16088.28
2024-05-14,16511.18,14923.72,15371.43,14476.0,14744.18,16098.47
2024-05-15,16742.39,14941.81,15390.07,14493.56,14756.16,16112.86
2024-05-16,16698.32,14959.29,15408.07,14510.51,14768.24,16121.09
2024-05-17,16685.97,14976.47,15425.77,14527.18,14781.8,16128.19
2024-05-20,16794.87,14994.56,15444.4,14544.73,14795.98,16137.34
2024-05-21,16832.62,15012.85,15463.24,14562.47,14810.59,16148.54
2024-05-22,16801.54,15030.65,15481.57,14579.73,14824.63,16160.69
2024-05-23,16736.03,15047.62,15499.05,14596.19,14838.89,16169.1
2024-05-24,16920.79,15066.26,15518.25,14614.27,14854.88,16182.64
2024-05-28,17019.88,15085.7,15538.27,14633.13,14871.29,16198.21
2024-05-29,16920.58,15103.96,15557.07,14650.84,14887.67,16215.21
2024-05-30,16737.08,15120.21,15573.81,14666.6,14902.41,16226.71
2024-05-31,16735.02,15136.27,15590.36,14682.18,14917.93,16243.85
2024-06-03,16828.67,15153.11,15607.71,14698.52,14934.7,16258.36
2024-06-04,16857.05,15170.07,15625.17,14714.97,14952.4,16273.43
2024-06-05,17187.9,15190.15,15645.85,14734.44,14971.89,16295.47
2024-06-06,17173.12,15209.88,15666.17,14753.58,14990.27,16320.54
2024-06-07,17133.13,15229.01,15685.88,14772.14,15008.4,16337.81
2024-06-10,17192.53,15248.55,15706.01,14791.09,15025.76,16363.24
2024-06-11,17343.55,15269.4,15727.48,14811.31,15045.16,16399.71
2024-06-12,17608.44,15292.67,15751.45,14833.89,15065.25,16443.29
2024-06-13,17667.56,15316.3,15775.79,14856.81,15085.06,16492.89
2024-06-14,17688.88,15339.91,15800.11,14879.71,15103.78,16545.08
2024-06-17,17857.02,15364.96,15825.9,14904.01,15122.97,16609.45
2024-06-18,17862.23,15389.8,15851.5,14928.11,15142.11,16669.73
2024-06-20,17721.59,15413.01,15875.4,14950.62,15160.56,16720.35
2024-06-21,17689.36,15435.66,15898.73,14972.59,15178.9,16769.76
2024-06-24,17496.82,15456.16,15919.85,14992.48,15197.02,16816.89
2024-06-25,17717.65,15478.67,15943.03,15014.31,15216.87,16861.63
2024-06-26,17805.16,15501.82,15966.87,15036.76,15237.08,16907.19
2024-06-27,17858.68,15525.27,15991.03,15059.51,15256.79,16962.21
2024-06-28,17732.6,15547.23,16013.65,15080.81,15276.58,17015.39
2024-07-01,17879.3,15570.44,16037.55,15103.32,15296.91,17066.34
2024-07-02,18028.76,15594.9,16062.74,15127.05,15317.43,17113.16
2024-07-03,18188.3,15620.7,16089.32,15152.08,15339.83,17159.13
2024-07-05,18352.76,15647.89,16117.32,15178.45,15363.04,17209.64
2024-07-08,18403.74,15675.31,16145.57,15205.05,15386.67,17262.16
2024-07-09,18429.29,15702.71,16173.79,15231.63,15411.47,17314.24
2024-07-10,18647.45,15732.01,16203.97,15260.05,15438.58,17371.9
2024-07-11,18283.41,15757.4,16230.12,15284.68,15463.94,17419.28
2024-07-12,18398.45,15783.68,16257.19,15310.17,15489.58,17466.46
2024-07-15,18472.57,15810.43,16284.75,15336.12,15516.62,17509.72
2024-07-16,18509.34,15837.29,16312.41,15362.17,15543.7,17554.99
2024-07-17,17996.92,15858.78,16334.54,15383.01,15567.68,17587.77
2024-07-18,17871.22,15878.8,16355.16,15402.44,15590.94,17614.67
2024-07-19,17726.94,15897.19,16374.11,15420.27,15613.04,17637.03
2024-07-22,18007.57,15918.19,16395.73,15440.64,15637.78,17667.18
